"drg","dc","pcl_min","pcl_max"
00019,0001,0,9
00029,0002,0,9
00049,0004,0,9
00060,0006,0,0
00061,0006,1,9
00070,0007,0,1
00071,0007,2,9
00099,0009,0,9
00100,0010,0,2
00101,0010,3,4
00102,0010,5,5
00103,0010,6,9
00110,0011,0,4
00111,0011,5,6
00112,0011,7,9
00120,0012,0,3
00121,0012,4,9
00130,0013,0,3
00131,0013,4,6
00132,0013,7,9
01010,0101,0,1
01011,0101,2,2
01012,0101,3,9
01020,0102,0,0
01021,0102,1,3
01022,0102,4,4
01023,0102,5,9
01030,0103,0,2
01031,0103,3,3
01032,0103,4,9
01040,0104,0,1
01041,0104,2,9
01050,0105,0,3
01051,0105,4,9
01060,0106,0,0
01061,0106,1,2
01062,0106,3,9
01079,0107,0,9
01089,0108,0,9
01090,0109,0,1
01091,0109,2,9
01129,0112,0,9
01139,0113,0,9
01149,0114,0,9
01179,0117,0,9
01500,0150,0,1
01501,0150,2,2
01502,0150,3,9
01510,0151,0,4
01511,0151,5,9
01520,0152,0,3
01521,0152,4,5
01522,0152,6,9
01530,0153,0,2
01531,0153,3,4
01532,0153,5,5
01533,0153,6,9
01540,0154,0,2
01541,0154,3,9
01550,0155,0,2
01551,0155,3,4
01552,0155,5,5
01553,0155,6,6
01554,0155,7,9
01560,0156,0,3
01561,0156,4,6
01562,0156,7,9
01570,0157,0,2
01571,0157,3,5
01572,0157,6,6
01573,0157,7,9
01580,0158,0,3
01581,0158,4,4
01582,0158,5,9
01590,0159,0,1
01591,0159,2,2
01592,0159,3,3
01593,0159,4,9
01600,0160,0,2
01601,0160,3,9
01610,0161,0,2
01611,0161,3,5
01612,0161,6,9
01620,0162,0,1
01621,0162,2,9
01630,0163,0,2
01631,0163,3,5
01632,0163,6,6
01633,0163,7,7
01634,0163,8,9
01640,0164,0,2
01641,0164,3,4
01642,0164,5,6
01643,0164,7,9
01650,0165,0,1
01651,0165,2,2
01652,0165,3,3
01653,0165,4,9
01660,0166,0,2
01661,0166,3,3
01662,0166,4,9
01670,0167,0,2
01671,0167,3,4
01672,0167,5,6
01673,0167,7,9
01680,0168,0,2
01681,0168,3,4
01682,0168,5,5
01683,0168,6,9
01690,0169,0,1
01691,0169,2,9
01709,0170,0,9
01710,0171,0,1
01711,0171,2,9
01720,0172,0,5
01721,0172,6,7
01722,0172,8,9
01730,0173,0,3
01731,0173,4,5
01732,0173,6,9
01749,0174,0,9
01760,0176,0,1
01761,0176,2,3
01762,0176,4,9
01770,0177,0,1
01771,0177,2,2
01772,0177,3,9
02010,0201,0,4
02011,0201,5,5
02012,0201,6,6
02013,0201,7,9
02020,0202,0,2
02021,0202,3,9
02039,0203,0,9
02050,0205,0,1
02051,0205,2,3
02052,0205,4,9
02060,0206,0,5
02061,0206,6,9
02070,0207,0,0
02071,0207,1,2
02072,0207,3,3
02073,0207,4,9
02080,0208,0,1
02081,0208,2,2
02082,0208,3,3
02083,0208,4,9
02090,0209,0,2
02091,0209,3,9
02109,0210,0,9
02110,0211,0,0
02111,0211,1,9
02129,0212,0,9
02130,0213,0,0
02131,0213,1,9
02500,0250,0,2
02501,0250,3,4
02502,0250,5,9
02510,0251,0,2
02511,0251,3,4
02512,0251,5,9
02520,0252,0,1
02521,0252,2,2
02522,0252,3,9
02530,0253,0,1
02531,0253,2,9
02540,0254,0,2
02541,0254,3,5
02542,0254,6,9
02550,0255,0,2
02551,0255,3,9
03010,0301,0,3
03011,0301,4,9
03100,0310,0,2
03101,0310,3,3
03102,0310,4,9
03120,0312,0,1
03121,0312,2,9
03140,0314,0,2
03141,0314,3,4
03142,0314,5,5
03143,0314,6,9
03219,0321,0,9
03500,0350,0,2
03501,0350,3,4
03502,0350,5,9
03510,0351,0,2
03511,0351,3,4
03512,0351,5,6
03513,0351,7,7
03514,0351,8,9
03520,0352,0,1
03521,0352,2,3
03522,0352,4,5
03523,0352,6,7
03524,0352,8,9
03570,0357,0,2
03571,0357,3,3
03572,0357,4,9
03590,0359,0,4
03591,0359,5,5
03592,0359,6,9
03600,0360,0,2
03601,0360,3,3
03602,0360,4,9
03610,0361,0,3
03611,0361,4,4
03612,0361,5,9
03620,0362,0,1
03621,0362,2,3
03622,0362,4,9
04010,0401,0,1
04011,0401,2,2
04012,0401,3,9
04020,0402,0,1
04021,0402,2,3
04022,0402,4,9
04030,0403,0,2
04031,0403,3,3
04032,0403,4,6
04033,0403,7,7
04034,0403,8,9
04070,0407,0,1
04071,0407,2,2
04072,0407,3,9
04080,0408,0,1
04081,0408,2,9
04099,0409,0,9
04109,0410,0,9
04510,0451,0,3
04511,0451,4,6
04512,0451,7,9
04520,0452,0,1
04521,0452,2,3
04522,0452,4,5
04523,0452,6,6
04524,0452,7,9
04530,0453,0,3
04531,0453,4,9
04540,0454,0,4
04541,0454,5,9
04550,0455,0,2
04551,0455,3,4
04552,0455,5,6
04553,0455,7,7
04554,0455,8,9
04560,0456,0,1
04561,0456,2,9
04570,0457,0,2
04571,0457,3,4
04572,0457,5,9
04580,0458,0,1
04581,0458,2,2
04582,0458,3,9
04590,0459,0,1
04591,0459,2,3
04592,0459,4,4
04593,0459,5,6
04594,0459,7,9
04610,0461,0,1
04611,0461,2,3
04612,0461,4,4
04613,0461,5,9
04620,0462,0,2
04621,0462,3,5
04622,0462,6,9
04630,0463,0,2
04631,0463,3,9
04640,0464,0,2
04641,0464,3,3
04642,0464,4,9
04659,0465,0,9
04660,0466,0,4
04661,0466,5,6
04662,0466,7,7
04663,0466,8,9
04670,0467,0,3
04671,0467,4,4
04672,0467,5,9
04680,0468,0,2
04681,0468,3,3
04682,0468,4,9
04690,0469,0,2
04691,0469,3,3
04692,0469,4,9
04700,0470,0,2
04701,0470,3,9
04710,0471,0,4
04711,0471,5,9
04720,0472,0,5
04721,0472,6,9
05019,0501,0,9
05020,0502,0,4
05021,0502,5,5
05022,0502,6,9
05039,0503,0,9
05049,0504,0,9
05059,0505,0,9
05060,0506,0,2
05061,0506,3,9
05079,0507,0,9
05080,0508,0,2
05081,0508,3,9
05090,0509,0,2
05091,0509,3,9
05109,0510,0,9
05110,0511,0,2
05111,0511,3,3
05112,0511,4,9
05120,0512,0,3
05121,0512,4,6
05122,0512,7,9
05130,0513,0,2
05131,0513,3,9
05149,0514,0,9
05150,0515,0,3
05151,0515,4,5
05152,0515,6,9
05160,0516,0,2
05161,0516,3,9
05170,0517,0,2
05171,0517,3,9
05190,0519,0,6
05191,0519,7,9
05200,0520,0,3
05201,0520,4,4
05202,0520,5,9
05210,0521,0,3
05211,0521,4,5
05212,0521,6,9
05220,0522,0,2
05221,0522,3,7
05222,0522,8,9
05230,0523,0,1
05231,0523,2,2
05232,0523,3,9
05240,0524,0,2
05241,0524,3,3
05242,0524,4,9
05259,0525,0,9
05269,0526,0,9
05270,0527,0,2
05271,0527,3,9
05290,0529,0,1
05291,0529,2,9
05310,0531,0,0
05311,0531,1,9
05329,0532,0,9
05330,0533,0,1
05331,0533,2,9
05360,0536,0,1
05361,0536,2,2
05362,0536,3,9
05379,0537,0,9
05500,0550,0,4
05501,0550,5,9
05510,0551,0,2
05511,0551,3,9
05520,0552,0,3
05521,0552,4,4
05522,0552,5,5
05523,0552,6,9
05530,0553,0,3
05531,0553,4,5
05532,0553,6,6
05533,0553,7,9
05540,0554,0,3
05541,0554,4,4
05542,0554,5,9
05550,0555,0,2
05551,0555,3,4
05552,0555,5,6
05553,0555,7,8
05554,0555,9,9
05560,0556,0,1
05561,0556,2,4
05562,0556,5,9
05579,0557,0,9
05580,0558,0,3
05581,0558,4,4
05582,0558,5,9
05590,0559,0,2
05591,0559,3,4
05592,0559,5,6
05593,0559,7,8
05594,0559,9,9
05600,0560,0,2
05601,0560,3,4
05602,0560,5,6
05603,0560,7,7
05604,0560,8,9
05610,0561,0,2
05611,0561,3,4
05612,0561,5,9
05620,0562,0,5
05621,0562,6,7
05622,0562,8,9
05630,0563,0,2
05631,0563,3,4
05632,0563,5,5
05633,0563,6,9
05640,0564,0,2
05641,0564,3,5
05642,0564,6,6
05643,0564,7,7
05644,0564,8,9
05660,0566,0,2
05661,0566,3,5
05662,0566,6,6
05663,0566,7,9
05680,0568,0,2
05681,0568,3,4
05682,0568,5,5
05683,0568,6,9
05690,0569,0,3
05691,0569,4,5
05692,0569,6,6
05693,0569,7,9
05700,0570,0,4
05701,0570,5,9
06010,0601,0,0
06011,0601,1,9
06020,0602,0,2
06021,0602,3,9
06030,0603,0,3
06031,0603,4,5
06032,0603,6,6
06033,0603,7,9
06040,0604,0,1
06041,0604,2,9
06050,0605,0,2
06051,0605,3,3
06052,0605,4,9
06070,0607,0,2
06071,0607,3,3
06072,0607,4,5
06073,0607,6,6
06074,0607,7,9
06080,0608,0,2
06081,0608,3,9
06090,0609,0,2
06091,0609,3,4
06092,0609,5,9
06100,0610,0,2
06101,0610,3,3
06102,0610,4,9
06110,0611,0,1
06111,0611,2,9
06120,0612,0,0
06121,0612,1,1
06122,0612,2,9
06130,0613,0,2
06131,0613,3,9
06140,0614,0,2
06141,0614,3,3
06142,0614,4,9
06159,0615,0,9
06160,0616,0,3
06161,0616,4,7
06162,0616,8,9
06190,0619,0,3
06191,0619,4,7
06192,0619,8,9
06210,0621,0,3
06211,0621,4,6
06212,0621,7,9
06230,0623,0,3
06231,0623,4,6
06232,0623,7,9
06240,0624,0,3
06241,0624,4,6
06242,0624,7,9
06269,0626,0,9
06279,0627,0,9
06289,0628,0,9
06290,0629,0,2
06291,0629,3,9
06300,0630,0,3
06301,0630,4,5
06302,0630,6,9
06320,0632,0,2
06321,0632,3,3
06322,0632,4,4
06323,0632,5,9
06359,0635,0,9
06360,0636,0,5
06361,0636,6,9
06379,0637,0,9
06389,0638,0,9
06409,0640,0,9
06430,0643,0,4
06431,0643,5,9
06440,0644,0,2
06441,0644,3,6
06442,0644,7,9
06500,0650,0,2
06501,0650,3,4
06502,0650,5,9
06510,0651,0,2
06511,0651,3,4
06512,0651,5,6
06513,0651,7,7
06514,0651,8,9
06540,0654,0,1
06541,0654,2,4
06542,0654,5,9
06559,0655,0,9
06560,0656,0,3
06561,0656,4,5
06562,0656,6,9
06570,0657,0,2
06571,0657,3,4
06572,0657,5,6
06573,0657,7,8
06574,0657,9,9
06580,0658,0,1
06581,0658,2,2
06582,0658,3,3
06583,0658,4,4
06584,0658,5,9
06600,0660,0,3
06601,0660,4,4
06602,0660,5,5
06603,0660,6,9
06610,0661,0,0
06611,0661,1,1
06612,0661,2,2
06613,0661,3,9
06620,0662,0,2
06621,0662,3,9
06630,0663,0,1
06631,0663,2,2
06632,0663,3,9
06640,0664,0,2
06641,0664,3,4
06642,0664,5,7
06643,0664,8,9
06650,0665,0,0
06651,0665,1,3
06652,0665,4,9
06660,0666,0,3
06661,0666,4,6
06662,0666,7,7
06663,0666,8,9
06680,0668,0,2
06681,0668,3,9
06690,0669,0,1
06691,0669,2,3
06692,0669,4,6
06693,0669,7,9
06700,0670,0,5
06701,0670,6,9
06710,0671,0,2
06711,0671,3,3
06712,0671,4,9
06720,0672,0,2
06721,0672,3,4
06722,0672,5,9
06730,0673,0,3
06731,0673,4,9
06740,0674,0,3
06741,0674,4,4
06742,0674,5,9
06750,0675,0,2
06751,0675,3,4
06752,0675,5,5
06753,0675,6,9
06760,0676,0,2
06761,0676,3,4
06762,0676,5,9
07010,0701,0,2
07011,0701,3,9
07020,0702,0,2
07021,0702,3,9
07030,0703,0,3
07031,0703,4,4
07032,0703,5,9
07049,0704,0,9
07050,0705,0,1
07051,0705,2,2
07052,0705,3,3
07053,0705,4,9
07060,0706,0,2
07061,0706,3,3
07062,0706,4,9
07070,0707,0,5
07071,0707,6,9
07080,0708,0,2
07081,0708,3,3
07082,0708,4,9
07090,0709,0,1
07091,0709,2,9
07100,0710,0,2
07101,0710,3,3
07102,0710,4,9
07110,0711,0,3
07111,0711,4,4
07112,0711,5,9
07149,0714,0,9
07150,0715,0,3
07151,0715,4,4
07152,0715,5,9
07169,0716,0,9
07500,0750,0,2
07501,0750,3,4
07502,0750,5,7
07503,0750,8,9
07510,0751,0,2
07511,0751,3,4
07512,0751,5,5
07513,0751,6,9
07530,0753,0,2
07531,0753,3,5
07532,0753,6,6
07533,0753,7,9
07540,0754,0,2
07541,0754,3,5
07542,0754,6,7
07543,0754,8,9
07550,0755,0,2
07551,0755,3,5
07552,0755,6,6
07553,0755,7,9
07569,0756,0,9
07570,0757,0,3
07571,0757,4,7
07572,0757,8,9
07580,0758,0,3
07581,0758,4,9
07590,0759,0,3
07591,0759,4,5
07592,0759,6,7
07593,0759,8,9
07600,0760,0,3
07601,0760,4,5
07602,0760,6,9
07610,0761,0,4
07611,0761,5,9
08019,0801,0,9
08020,0802,0,3
08021,0802,4,4
08022,0802,5,9
08030,0803,0,2
08031,0803,3,5
08032,0803,6,9
08049,0804,0,9
08050,0805,0,3
08051,0805,4,4
08052,0805,5,9
08060,0806,0,2
08061,0806,3,3
08062,0806,4,9
08070,0807,0,1
08071,0807,2,2
08072,0807,3,9
08080,0808,0,1
08081,0808,2,2
08082,0808,3,9
08090,0809,0,1
08091,0809,2,2
08092,0809,3,9
08100,0810,0,2
08101,0810,3,3
08102,0810,4,4
08103,0810,5,9
08110,0811,0,1
08111,0811,2,9
08120,0812,0,2
08121,0812,3,3
08122,0812,4,9
08130,0813,0,2
08131,0813,3,4
08132,0813,5,6
08133,0813,7,9
08140,0814,0,1
08141,0814,2,3
08142,0814,4,4
08143,0814,5,9
08150,0815,0,2
08151,0815,3,4
08152,0815,5,9
08160,0816,0,1
08161,0816,2,3
08162,0816,4,4
08163,0816,5,9
08170,0817,0,2
08171,0817,3,5
08172,0817,6,6
08173,0817,7,9
08180,0818,0,1
08181,0818,2,9
08200,0820,0,3
08201,0820,4,4
08202,0820,5,9
08210,0821,0,3
08211,0821,4,9
08220,0822,0,3
08221,0822,4,6
08222,0822,7,9
08230,0823,0,3
08231,0823,4,4
08232,0823,5,9
08240,0824,0,2
08241,0824,3,9
08250,0825,0,1
08251,0825,2,9
08289,0828,0,9
08290,0829,0,1
08291,0829,2,9
08300,0830,0,3
08301,0830,4,4
08302,0830,5,9
08310,0831,0,2
08311,0831,3,4
08312,0831,5,5
08313,0831,6,9
08359,0835,0,9
08369,0836,0,9
08500,0850,0,3
08501,0850,4,9
08510,0851,0,2
08511,0851,3,4
08512,0851,5,5
08513,0851,6,9
08520,0852,0,2
08521,0852,3,9
08530,0853,0,3
08531,0853,4,5
08532,0853,6,9
08540,0854,0,3
08541,0854,4,4
08542,0854,5,9
08550,0855,0,2
08551,0855,3,4
08552,0855,5,9
08560,0856,0,5
08561,0856,6,7
08562,0856,8,9
08570,0857,0,2
08571,0857,3,4
08572,0857,5,7
08573,0857,8,9
08580,0858,0,2
08581,0858,3,5
08582,0858,6,6
08583,0858,7,9
08600,0860,0,2
08601,0860,3,4
08602,0860,5,9
08610,0861,0,1
08611,0861,2,3
08612,0861,4,4
08613,0861,5,9
08620,0862,0,2
08621,0862,3,4
08622,0862,5,9
08630,0863,0,1
08631,0863,2,2
08632,0863,3,3
08633,0863,4,9
08640,0864,0,0
